time (ms),latency (ms),consume (ms)
0,15,0
1,13,1
1,13,0
2,13,1
2,13,0
2,13,0
2,12,0
2,12,0
3,13,1
3,12,0
3,12,0
3,12,0
4,12,1
4,12,0
4,12,0
4,11,0
5,12,1
5,12,0
5,12,0
6,12,1
6,12,0
6,12,0
6,12,0
6,11,0
7,12,1
7,12,0
7,11,0
10,14,3
11,15,1
11,14,0
11,14,0
13,16,2
13,15,0
14,16,1
14,16,0
14,16,0
14,15,0
15,16,1
15,15,0
15,15,0
16,16,1
16,15,0
16,15,0
17,16,1
17,16,0
17,15,0
17,15,0
18,16,1
18,14,0
18,13,0
19,14,1
19,13,0
19,13,0
19,13,0
19,13,0
20,13,1
20,13,0
20,12,0
20,12,0
21,13,1
21,13,0
22,13,1
22,13,0
22,13,0
23,13,1
23,13,0
23,13,0
23,13,0
24,13,1
24,13,0
24,13,0
24,13,0
24,12,0
25,13,1
25,12,0
25,12,0
25,12,0
26,13,1
28,14,2
28,14,0
32,18,4
32,17,0
32,17,0
32,17,0
33,18,1
33,17,0
33,17,0
33,17,0
33,17,0
34,17,1
34,17,0
34,17,0
34,16,0
35,17,1
35,17,0
35,16,0
35,16,0
35,16,0
36,17,1
36,16,0
36,16,0
36,16,0
37,17,1
37,16,0
37,16,0
37,16,0
38,17,1
38,16,0
38,16,0
38,16,0
38,16,0
39,16,1
39,16,0
39,16,0
39,15,0
40,16,1
40,16,0
40,16,0
40,15,0
41,16,1
41,16,0
41,15,0
41,15,0
42,16,1
42,15,0
42,15,0
42,15,0
43,16,1
45,17,2
45,17,0
45,17,0
46,17,1
46,17,0
47,18,1
47,18,0
47,17,0
49,19,2
49,19,0
50,20,1
50,19,0
50,19,0
50,19,0
50,19,0
51,19,1
51,19,0
51,19,0
51,19,0
52,19,1
52,19,0
52,19,0
52,18,0
52,18,0
52,17,0
53,18,1
53,18,0
53,17,0
53,17,0
54,18,1
54,18,0
54,17,0
54,17,0
55,17,1
55,17,0
55,16,0
55,16,0
55,16,0
56,17,1
56,16,0
56,16,0
56,16,0
57,17,1
57,16,0
57,16,0
57,16,0
57,16,0
58,16,1
58,16,0
58,16,0
58,16,0
58,16,0
58,15,0
59,16,1
59,16,0
59,16,0
59,15,0
60,16,1
60,16,0
60,15,0
60,15,0
61,16,1
61,16,0
61,15,0
61,15,0
61,15,0
61,14,0
62,15,1
62,15,0
63,15,1
64,16,1
64,16,0
65,17,1
66,17,1
66,17,0
67,18,1
67,17,0
68,18,1
68,18,0
69,19,1
